expression,reading,meaning,tags,guid,example_jp,example_reading_hiragana,example_ko
稼ぐ,かせぐ,(돈을) 벌다,JLPT_1 JLPT,v|I;9$9y<2,彼はアルバイトをして学費を稼いだ。,かれはあるばいとをしてがくひをかせいだ。,그는 아르바이트를 해서 학비를 벌었다.
偏る,かたよる,치우치다,JLPT_1 JLPT,m@^Kt7&h8n,その記事は一方の主張に偏っている。,そのきじはいっぽうのしゅちょうにかたよっている。,그 기사는 한쪽 주장에 치우쳐 있다.
花壇,かだん,화단,JLPT_1 JLPT,G]TZS)qLVD,校庭の花壇にチューリップを植えた。,こうていのかだんにちゅーりっぷをうえた。,교정의 화단에 튤립을 심었다.
兼ねる,かねる,겸하다,JLPT_1 JLPT,<7WoBnbp*Z,この部屋は客間と書斎を兼ねている。,このへやはきゃくまとしょさいをかねている。,이 방은 객실과 서재를 겸하고 있다.
絡む,からむ,얽히다,JLPT_1 JLPT,"`e$Tn,RdwQ",複数の利害が複雑に絡む問題だ。,ふくすうのりがいがふくざつにからむもんだいだ。,여러 이해관계가 복잡하게 얽힌 문제다.
管轄,かんかつ,관할,JLPT_1 JLPT,"3C,i&S8bAu",この道路は県の管轄になっている。,このどうろはけんのかんかつになっている。,이 도로는 현의 관할이다.
干渉,かんしょう,간섭,JLPT_1 JLPT,.uvEmy*>^V,親が子供の進路に干渉しすぎてはいけない。,おやがこどものしんろにかんしょうしすぎてはいけない。,부모가 자녀의 진로에 지나치게 간섭해서는 안 된다.
頑丈,がんじょう,"튼튼함, 견고함",JLPT_1 JLPT,4OUj{+0aX/,この箱は落としても壊れないほど頑丈だ。,このはこはおとしてもこわれないほどがんじょうだ。,이 상자는 떨어뜨려도 부서지지 않을 만큼 튼튼하다.
鑑定,かんてい,(미술품 등의) 감정,JLPT_1 JLPT,&S]$R~qpZ1,専門家に古い掛け軸を鑑定してもらった。,せんもんかにふるいかけじくをかんていしてもらった。,전문가에게 오래된 족자를 감정받았다.
監督,かんとく,감독,JLPT_1 JLPT,U3=G5f2Wjf,新監督の下でチームは守備を強化した。,しんかんとくのもとでちーむはしゅびをきょうかした。,새 감독 아래에서 팀은 수비를 강화했다.
芳しくない,かんばしくない,"바람직하지 않다, 별로 좋지 않다",JLPT_1 JLPT,aIp/-I8mn@,新商品の売れ行きはあまり芳しくない。,しんしょうひんのうれゆきはあまりかんばしくない。,신상품의 판매 실적은 그다지 좋지 않다.
緩和,かんわ,완화,JLPT_1 JLPT,9R6cdX$yZ>,薬を飲むと痛みが少し緩和された。,くすりをのむといたみがすこしかんわされた。,약을 먹자 통증이 조금 완화되었다.
企業,きぎょう,기업,JLPT_1 JLPT,"9[yYj,6.;{",多くの企業が省エネ設備を導入した。,おおくのきぎょうがしょうえねせつびをどうにゅうした。,많은 기업이 에너지 절약 설비를 도입했다.
戯曲,ぎきょく,희곡,JLPT_1 JLPT,#{m!^}JgbL,その劇作家は歴史を題材に戯曲を書いた。,そのげきさっかはれきしをだいざいにぎきょくをかいた。,그 극작가는 역사를 소재로 희곡을 썼다.
既婚者,きこんしゃ,기혼자,JLPT_1 JLPT,[]>5{.=ecL,この保険は既婚者も独身者も加入できる。,このほけんはきこんしゃもどくしんしゃもかにゅうできる。,이 보험은 기혼자도 미혼자도 가입할 수 있다.
築く,きずく,쌓다,JLPT_1 JLPT,|H0%KfYZ[X,長年の努力で顧客との信頼を築いた。,ながねんのどりょくでこきゃくとのしんらいをきずいた。,오랜 노력으로 고객과의 신뢰를 쌓았다.
軌跡,きせき,궤적,JLPT_1 JLPT,U)}9NR3xHL,衛星の軌跡が画面に表示された。,えいせいのきせきががめんにひょうじされた。,위성의 궤적이 화면에 표시되었다.
偽造,ぎぞう,위조,JLPT_1 JLPT,WhT6SD_DyW,他人名義の契約書を偽造した疑いがある。,たにんめいぎのけいやくしょをぎぞうしたうたがいがある。,타인 명의의 계약서를 위조한 혐의가 있다.
厳しい,きびしい,"엄하다, 심하다",JLPT_1 JLPT,"xof${~<y,I",山頂では厳しい寒さが続いている。,さんちょうではきびしいさむさがつづいている。,산 정상에서는 혹독한 추위가 계속되고 있다.
寄附,きふ,기부,JLPT_1 JLPT,2VmY<-Lkju,被災地の学校に図書を寄附した。,ひさいちのがっこうにとしょをきふした。,재해 지역 학교에 도서를 기부했다.
義務,ぎむ,의무,JLPT_1 JLPT,QxT|i+j4#K,納税は国民に課された義務である。,のうぜいはこくみんにかされたぎむである。,납세는 국민에게 부과된 의무다.
脚本,きゃくほん,"각본, 대본",JLPT_1 JLPT,"?,y$XHw3UK",俳優たちは脚本を読みながら稽古した。,はいゆうたちはきゃくほんをよみながらけいこした。,배우들은 대본을 읽으며 연습했다.
救援,きゅうえん,구원,JLPT_1 JLPT,?_yKe+/btt,救援物資を積んだ車が被災地へ向かった。,きゅうえんぶっしをつんだくるまがひさいちへむかった。,구호 물자를 실은 차가 재해 지역으로 향했다.
丘陵,きゅうりょう,"구릉, 언덕",JLPT_1 JLPT,"rq),b1iqem",なだらかな丘陵に茶畑が広がっている。,なだらかなきゅうりょうにちゃばたけがひろがっている。,완만한 구릉에 차밭이 펼쳐져 있다.
凝縮,ぎょうしゅく,응축,JLPT_1 JLPT,_fHYt~gz#],果物の甘みを凝縮した濃厚なソースだ。,くだもののあまみをぎょうしゅくしたのうこうなそーすだ。,과일의 단맛을 응축한 진한 소스다.
行政,ぎょうせい,행정,JLPT_1 JLPT,`BTzWwo;3y,市の行政に住民の声を反映させる。,しのぎょうせいにじゅうみんのこえをはんえいさせる。,시 행정에 주민의 목소리를 반영한다.
驚嘆,きょうたん,경탄,JLPT_1 JLPT,"oM?It*h,n$",観客は彼女の見事な演技に驚嘆した。,かんきゃくはかのじょのみごとなえんぎにきょうたんした。,관객은 그녀의 훌륭한 연기에 감탄했다.
胸中,きょうちゅう,"흉중, 가슴 속, 심정",JLPT_1 JLPT,M$x#IW(_*-,彼の胸中には悔しさが渦巻いていた。,かれのきょうちゅうにはくやしさがうずまいていた。,그의 가슴속에는 분함이 소용돌이치고 있었다.
共鳴,きょうめい,"① 공명, 공진 ② 동감함, 공감함",JLPT_1 JLPT,"[d,&>Gurhn",彼女の理念に共鳴して活動に参加した。,かのじょのりねんにきょうめいしてかつどうにさんかした。,그녀의 이념에 공감해 활동에 참여했다.
拒否,きょひ,거부,JLPT_1 JLPT,6_td/s=@[7,会社は組合の要求を全面的に拒否した。,かいしゃはくみあいのようきゅうをぜんめんてきにきょひした。,회사는 노조의 요구를 전면 거부했다.
均衡,きんこう,균형,JLPT_1 JLPT,u/4(@1X1u^,需要と供給の均衡が崩れ始めた。,じゅようときょうきゅうのきんこうがくずれはじめた。,수요와 공급의 균형이 무너지기 시작했다.
緊迫,きんぱく,긴박함,JLPT_1 JLPT,"3iDf)&%;t,",両国の国境付近で緊迫した状態が続く。,りょうこくのこっきょうふきんできんぱくしたじょうたいがつづく。,양국의 국경 부근에서 긴박한 상태가 계속된다.
吟味,ぎんみ,"음미, 잘 조사하여 고름",JLPT_1 JLPT,"S?z,KU`Kg,",材料をよく吟味してから仕入れる。,ざいりょうをよくぎんみしてからしいれる。,재료를 꼼꼼히 살펴본 뒤 매입한다.
草花,くさばな,화초,JLPT_1 JLPT,EnO0yr[:PC,野山には春の草花が咲き始めた。,のやまにははるのくさばながさきはじめた。,들과 산에는 봄 화초가 피기 시작했다.
崩す,くずす,무너뜨리다,JLPT_1 JLPT,Vz}Lkf4u:(,体調を崩して三日間仕事を休んだ。,たいちょうをくずしてみっかかんしごとをやすんだ。,몸이 안 좋아져 사흘간 일을 쉬었다.
崩れる,くずれる,무너지다,JLPT_1 JLPT,aWoY$1nIMG,強風で積み上げた荷物が崩れた。,きょうふうでつみあげたにもつがくずれた。,강풍에 쌓아 둔 짐이 무너졌다.
砕ける,くだける,"부서지다, 깨지다",JLPT_1 JLPT,iPl>9nKgcs,古い皿が床に落ちて粉々に砕けた。,ふるいさらがゆかにおちてこなごなにくだけた。,낡은 접시가 바닥에 떨어져 산산이 깨졌다.
朽ち果てる,くちはてる,썩어 없어지다,JLPT_1 JLPT,wJqkLhrE9y,森の奥で朽ち果てた小屋を見つけた。,もりのおくでくちはてたこやをみつけた。,숲속에서 썩어 무너진 오두막을 발견했다.
覆す,くつがえす,뒤엎다,JLPT_1 JLPT,0:9enTfWO9,新たな証拠が有罪判決を覆した。,あらたなしょうこがゆうざいはんけつをくつがえした。,새로운 증거가 유죄 판결을 뒤집었다.
配る,くばる,나눠 주다,JLPT_1 JLPT,L%#R>Wru(q,駅前で通行人に広告を配った。,えきまえでつうこうにんにこうこくをくばった。,역 앞에서 행인들에게 광고지를 나눠 주었다.
工夫,くふう,"궁리, 고안",JLPT_1 JLPT,K6;oHQ|E]C,狭い部屋を広く使う工夫を凝らした。,せまいへやをひろくつかうくふうをこらした。,좁은 방을 넓게 쓰기 위한 궁리를 했다.
詳しい,くわしい,"상세하다, 자세하다",JLPT_1 JLPT,F^r3-EwR?H,姉はこの地域の歴史に詳しい。,あねはこのちいきのれきしにくわしい。,언니는 이 지역의 역사에 대해 잘 안다.
群衆,ぐんしゅう,군중,JLPT_1 JLPT,TU+lM2HVs?,群衆が広場を埋め尽くした。,ぐんしゅうがひろばをうめつくした。,군중이 광장을 가득 메웠다.
経緯,けいい,경위,JLPT_1 JLPT,"e*BLx}1oy,",事件が発覚した経緯を詳しく調べる。,じけんがはっかくしたけいいをくわしくしらべる。,사건이 발각된 경위를 자세히 조사한다.
傾斜する,けいしゃする,경사지다,JLPT_1 JLPT,W[EF1[T.TU,この道は海に向かって緩やかに傾斜している。,このみちはうみにむかってゆるやかにけいしゃしている。,이 길은 바다 쪽으로 완만하게 경사져 있다.
軽率,けいそつ,경솔함,JLPT_1 JLPT,9i&<$%%!er,確認せずに署名したのは軽率だった。,かくにんせずにしょめいしたのはけいそつだった。,확인하지 않고 서명한 것은 경솔했다.
欠陥,けっかん,결함,JLPT_1 JLPT,C[-l<-uy:e,設計上の欠陥が事故の原因になった。,せっけいじょうのけっかんがじこのげんいんになった。,설계상의 결함이 사고의 원인이 되었다.
欠乏,けつぼう,결핍,JLPT_1 JLPT,"A,L|pV*2z<",長い日照りで農村では水が欠乏している。,ながいひでりでのうそんではみずがけつぼうしている。,긴 가뭄으로 농촌에서는 물이 부족하다.
気配,けはい,"낌새, 기운",JLPT_1 JLPT,"=B,.2=Hw3l",玄関に誰かがいる気配を感じた。,げんかんにだれかがいるけはいをかんじた。,현관에 누군가 있는 기척을 느꼈다.
検閲,けんえつ,검열,JLPT_1 JLPT,}w21g_X*[U,独裁政権は報道に厳しい検閲を加えた。,どくさいせいけんはほうどうにきびしいけんえつをくわえた。,독재 정권은 보도에 엄격한 검열을 가했다.
嫌悪感,けんおかん,혐오감,JLPT_1 JLPT,yp/<cb!J.6,残酷な映像を見て強い嫌悪感を抱いた。,ざんこくなえいぞうをみてつよいけんおかんをいだいた。,잔혹한 영상을 보고 강한 혐오감을 느꼈다.
厳正,げんせい,엄정함,JLPT_1 JLPT,"<-)M1(4,V!",審判は規則に基づいて厳正に判定した。,しんぱんはきそくにもとづいてげんせいにはんていした。,심판은 규칙에 따라 엄정하게 판정했다.
顕著に,けんちょに,현저하게,JLPT_1 JLPT,(~k){rQbcQ,治療後は症状が顕著に改善した。,ちりょうごはしょうじょうがけんちょにかいぜんした。,치료 후에는 증상이 현저하게 개선되었다.
検討,けんとう,검토,JLPT_1 JLPT,VIMvL=ReX`,委員会は再発防止策を検討している。,いいんかいはさいはつぼうしさくをけんとうしている。,위원회는 재발 방지책을 검토하고 있다.
賢明,けんめい,현명함,JLPT_1 JLPT,x!>]V;<&*9,今は計画を延期するのが賢明だ。,いまはけいかくをえんきするのがけんめいだ。,지금은 계획을 연기하는 것이 현명하다.
行為,こうい,행위,JLPT_1 JLPT,"/-k2~,U<~f",他人を傷つける行為は許されない。,たにんをきずつけるこういはゆるされない。,남을 해치는 행위는 용납되지 않는다.
豪快,ごうかい,호쾌함,JLPT_1 JLPT,t|&{&V[hCz,彼は大きな魚を豪快にさばいた。,かれはおおきなさかなをごうかいにさばいた。,그는 큰 생선을 호쾌하게 손질했다.
貢献,こうけん,공헌,JLPT_1 JLPT,wC]yxTT&qf,この発明は医療の進歩に大きく貢献した。,このはつめいはいりょうのしんぽにおおきくこうけんした。,이 발명은 의료 발전에 크게 공헌했다.
香辛料,こうしんりょう,향신료,JLPT_1 JLPT,&&A#d]{4g?,カレーに数種類の香辛料を加えた。,かれーにすうしゅるいのこうしんりょうをくわえた。,카레에 여러 종류의 향신료를 넣었다.
強盗,ごうとう,강도,JLPT_1 JLPT,KeY;=~M0q`,銀行を襲った強盗が翌朝逮捕された。,ぎんこうをおそったごうとうがよくあさたいほされた。,은행을 습격한 강도가 다음 날 아침 체포되었다.
興奮,こうふん,흥분,JLPT_1 JLPT,;3[<M>VCnj,優勝が決まり観客は興奮に包まれた。,ゆうしょうがきまりかんきゃくはこうふんにつつまれた。,우승이 확정되자 관객들은 흥분에 휩싸였다.
巧妙な,こうみょうな,교묘함,JLPT_1 JLPT,W4c:BD^HdL,犯人は巧妙な手口で監視を逃れた。,はんにんはこうみょうなてぐちでかんしをのがれた。,범인은 교묘한 수법으로 감시를 피했다.
行楽地,こうらくち,행락지,JLPT_1 JLPT,O@?]EGLfKv,連休中は各地の行楽地が混雑する。,れんきゅうちゅうはかくちのこうらくちがこんざつする。,연휴에는 각지의 행락지가 붐빈다.
考慮,こうりょ,고려,JLPT_1 JLPT,"S(4s<,NF<0",安全性を考慮して経路を変更した。,あんぜんせいをこうりょしてけいろをへんこうした。,안전성을 고려해 경로를 변경했다.
高齢化,こうれいか,고령화,JLPT_1 JLPT,miz^=EK*Ar,高齢化に伴い介護の需要が増えている。,こうれいかにともないかいごのじゅようがふえている。,고령화에 따라 돌봄 수요가 늘고 있다.
枯渇,こかつ,고갈,JLPT_1 JLPT,K/G2w]L|L},長引く干ばつで貯水池が枯渇した。,ながびくかんばつでちょすいちがこかつした。,계속된 가뭄으로 저수지가 고갈되었다.
克服,こくふく,극복,JLPT_1 JLPT,"&,;Vf^<_Us",彼女は訓練を重ねて弱点を克服した。,かのじょはくんれんをかさねてじゃくてんをこくふくした。,그녀는 훈련을 거듭해 약점을 극복했다.
克明,こくめい,① 자세하고 꼼꼼함 ② 성실하고 정직함,JLPT_1 JLPT,;o$(o){Ey7,目撃者は犯人の特徴を克明に語った。,もくげきしゃははんにんのとくちょうをこくめいにかたった。,목격자는 범인의 특징을 상세히 말했다.
心地よい,ここちよい,기분이 상쾌하다(좋다),JLPT_1 JLPT,<SM@Fpt9m>,木陰を抜ける風が心地よい。,こかげをぬけるかぜがここちよい。,나무 그늘을 스치는 바람이 기분 좋다.
心遣い,こころづかい,"마음을 씀, 걱정함, 배려",JLPT_1 JLPT,@FJ>>ff(o%,さりげない心遣いがとてもうれしかった。,さりげないこころづかいがとてもうれしかった。,세심한 배려가 무척 기뻤다.
快い,こころよい,"상쾌하다, 기분 좋다",JLPT_1 JLPT,=>XZM-&Z6M,店員は返品の申し出を快く受け入れた。,てんいんはへんぴんのもうしでをこころよくうけいれた。,점원은 반품 요청을 흔쾌히 받아들였다.
故障,こしょう,고장,JLPT_1 JLPT,Mbk)*FIKw@,突然エンジンが故障して車が止まった。,とつぜんえんじんがこしょうしてくるまがとまった。,갑자기 엔진이 고장 나 차가 멈췄다.
小銭,こぜに,잔돈,JLPT_1 JLPT,KEaS4N4kl4,自動販売機で使う小銭を用意した。,じどうはんばいきでつかうこぜにをよういした。,자동판매기에서 쓸 잔돈을 준비했다.
誇張,こちょう,과장,JLPT_1 JLPT,Do`z)J.g8c,効果を誇張した広告に注意しよう。,こうかをこちょうしたこうこくにちゅういしよう。,효과를 과장한 광고를 주의하자.
込める,こめる,"담다, 포함하다",JLPT_1 JLPT,4<PpnDWBDC,花束に感謝の気持ちを込めた。,はなたばにかんしゃのきもちをこめた。,꽃다발에 감사의 마음을 담았다.
志す,こころざす,"지향하다, 지망하다",JLPT_1 JLPT,"m[lV-,lqct",彼は幼い頃から医師を志していた。,かれはおさないころからいしをこころざしていた。,그는 어릴 때부터 의사를 지망했다.
拒む,こばむ,거부하다,JLPT_1 JLPT,ubJTq&tS7h,村人は敵軍への協力を頑なに拒んだ。,むらびとはてきぐんへのきょうりょくをかたくなにこばんだ。,마을 사람들은 적군에 대한 협력을 완강히 거부했다.
雇用,こよう,고용,JLPT_1 JLPT,;hT`(wt/DS,工場の新設で地域の雇用が増えた。,こうじょうのしんせつでちいきのこようがふえた。,공장 신설로 지역 고용이 늘었다.
献立,こんだて,"식단, 메뉴",JLPT_1 JLPT,*KLSn;4d0D,栄養を考えて一週間の献立を立てる。,えいようをかんがえていっしゅうかんのこんだてをたてる。,영양을 고려해 일주일 식단을 짠다.
根底,こんてい,"근저, 밑바탕, 기초",JLPT_1 JLPT,vZ<4}<~:;},両者の主張は根底から食い違っている。,りょうしゃのしゅちょうはこんていからくいちがっている。,양측의 주장은 근본부터 엇갈린다.
混乱,こんらん,혼란,JLPT_1 JLPT,fBN6@pDtBr,突然の停電で駅構内が混乱した。,とつぜんのていでんでえきこうないがこんらんした。,갑작스러운 정전으로 역 구내가 혼란에 빠졌다.
