expression,reading,meaning,tags,guid
合議,ごうぎ,"상담, 컨퍼런스",JLPT_1 JLPT,g]f7CW]TnO
皇居,こうきょ,황궁,JLPT_1 JLPT,s3?rVk?BGD
好況,こうきょう,"번영하는 환경, 건강한 경제",JLPT_1 JLPT,w5c/V*0:/6
鉱業,こうぎょう,광업,JLPT_1 JLPT,w)+*p6qI~s
興業,こうぎょう,사업 시작; 산업,JLPT_1 JLPT,qy~me*:#E{
高原,こうげん,"고원, 고원",JLPT_1 JLPT,GF2Ak`BNv1
交互,こうご,"상호적인, 상호적인, 대체적인",JLPT_1 JLPT,i<WWSGhMtl
煌々と,こうこうと,밝게,JLPT_1 JLPT,wYY;?*yl=I
考古学,こうこがく,고고학,JLPT_1 JLPT,CYD1fRQ8EC
工作,こうさく,"수공예품, 기동",JLPT_1 JLPT,wzz*)FRo9<
耕作,こうさく,"재배, 농업",JLPT_1 JLPT,hB|/|8Uy}2
鉱山,こうざん,내 거,JLPT_1 JLPT,"KT!enF:=,%"
講習,こうしゅう,"단기 코스, 훈련",JLPT_1 JLPT,g(z7%o&?^
口述,こうじゅつ,구두 진술,JLPT_1 JLPT,C~8oU(cK0?
控除,こうじょ,"보조금, 공제",JLPT_1 JLPT,s2uW?Na1t%
交渉,こうしょう,협상,JLPT_1 JLPT Intermediate_Japanese_Ln.8 Intermediate_Japanese,uv@U[?I@AF
高尚,こうしょう,"높은, 고귀한, 세련된",JLPT_1 JLPT,Ndw<}.:V2o
向上,こうじょう,"상승, 개선, 진보",JLPT_1 JLPT,Qcz@t2UD0)
行進,こうしん,"행진, 퍼레이드",JLPT_1 JLPT,A=w}ZE@917
香辛料,こうしんりょう,향료,JLPT_1 JLPT,ce!{r.1}~3
降水,こうすい,"강수량, 강수량",JLPT_1 JLPT,"pb1#Y263n,"
洪水,こうずい,홍수,JLPT_1 JLPT,wakC-uKaq}
合成,ごうせい,"합성, 혼합",JLPT_1 JLPT,c^4E@A0[92
公然,こうぜん,공공연히,JLPT_1 JLPT,M(>QOkIhfA
抗争,こうそう,"분쟁, 저항",JLPT_1 JLPT,Ayw{S[ULVi
構想,こうそう,"계획, 음모, 아이디어, 개념",JLPT_1 JLPT,HJ3]TaFI5x
後退,こうたい,"후퇴, 백스페이스",JLPT_1 JLPT,Hg(g(Ch73j
光沢,こうたく,"광택, 윤기있는 마무리 (사진)",JLPT_1 JLPT,sz+BIfx<J$
公団,こうだん,공기업,JLPT_1 JLPT,C&5}~^z)ts
好調,こうちょう,"만족스럽습니다, 상태 좋습니다",JLPT_1 JLPT,fn+k2uN^.*
口頭,こうとう,경구,JLPT_1 JLPT,mWZ1nL&l+A
講読,こうどく,독서,JLPT_1 JLPT,"cbt]L<,==)"
購読,こうどく,신청,JLPT_1 JLPT,BPBnR~`=Cm
購入,こうにゅう,"구매하다, 구매하다",JLPT_1 JLPT,mN.]${Ep@o
公認,こうにん,"공식 인정, 승인",JLPT_1 JLPT,f=;(Z+KSn*
光熱費,こうねつひ,연료비와 조명비,JLPT_1 JLPT,CBInEbAiwn
購買,こうばい,"구매하다, 구매하다",JLPT_1 JLPT,m|%voYE^yW
好評,こうひょう,"인기, 호평",JLPT_1 JLPT,PN?X>r5#3$
交付,こうふ,"배달, 제공(사본 포함)",JLPT_1 JLPT,iWHq@iV7/S
公募,こうぼ,"대중 호소, 대중 기여",JLPT_1 JLPT,zuO/%#|pw9
巧妙,こうみょう,"독창적인, 능숙한, 영리한",JLPT_1 JLPT,K0cz7g4lOn
公用,こうよう,"정부 사업, 공공 사용, 공공 비용",JLPT_1 JLPT,E{n/tl9=Ih
小売,こうり,소매,JLPT_1 JLPT,c_Z6-bZ>!E
効率,こうりつ,능률,JLPT_1 JLPT,zkc6-]4~)6
公立,こうりつ,공기,JLPT_1 JLPT,FUSldz(S$f
護衛,ごえい,"경비병, 호송대, 호위대",JLPT_1 JLPT,Bs7a.5p1{r
コーナー,コーナー,모서리,JLPT_1 JLPT,n/T(.dj~.j
小柄,こがら,"작은, 아주 작은",JLPT_1 JLPT,p|m2.?zBm2
小切手,こぎって,"수표, 확인하다",JLPT_1 JLPT,vh>Pgi:y!n
国産,こくさん,국내 제품,JLPT_1 JLPT,NVGuI`wyWr
国定,こくてい,"국가 후원, 국가",JLPT_1 JLPT,K:.NA{MA#
告白,こくはく,"고백, 인정",JLPT_1 JLPT,D/-Yon@zj7
国防,こくぼう,국방,JLPT_1 JLPT,gB_-ioo>5E
国有,こくゆう,국가 소유권,JLPT_1 JLPT,qhprC(Et1a
極楽,ごくらく,천국,JLPT_1 JLPT,MY-u/w:|X`
国連,こくれん,"유엔, 유엔",JLPT_1 JLPT,PWdSCAXCS{
焦げ茶,こげちゃ,진한 갈색,JLPT_1 JLPT,z#D(l+D|+d
語源,ごげん,"단어 어근, 단어 파생, 어원",JLPT_1 JLPT,"wW7;mB,H-n"
心地,ここち,"느낌, 감각, 기분",JLPT_1 JLPT,HRZ-ZZ((63
心得,こころえ,"지식, 정보",JLPT_1 JLPT,r]B:&#9/Oj
心掛け,こころがけ,"준비, 의도, 목표",JLPT_1 JLPT,v|gKw*kSA<
心掛ける,こころがける,"염두에 두다, ~을 목표로 삼다",JLPT_1 JLPT,xF|-#cu_O[
志,こころざし,"의지, 의도, 동기",JLPT_1 JLPT,J^EH*N|S>D
志す,こころざす,"계획하다, 의도하다, 열망하다",JLPT_1 JLPT,zc/071N?*?
心強い,こころづよい,"격려하는, 안심시키는",JLPT_1 JLPT,K>pZg]2z_[
心細い,こころぼそい,"무기력한, 절망적인, 낙담시키는",JLPT_1 JLPT,ve[sU52iIO
試み,こころみ,"재판, 실험",JLPT_1 JLPT,LnQ-7#~J-i
試みる,こころみる,"시도하다, 테스트하다",JLPT_1 JLPT,qG!ugw]O{9
快い,こころよい,"기분 좋은, 기분 좋은",JLPT_1 JLPT,eXTY5f2Ubn
誤差,ごさ,오류,JLPT_1 JLPT,bE*}iimu/k
ございます (かん),ございます (かん),"(존재하다, 정중하다)",JLPT_1 JLPT,g2<)LlaRj=
孤児,こじ,유아,JLPT_1 JLPT,Nru>c@<pc2
こじれる,こじれる,"복잡해지다, 악화되다",JLPT_1 JLPT,jQE(/ITykr
こす (みずを～),こす (みずを～),"걸러내다, 여과하다",JLPT_1 JLPT,P2WNAwMh[2
梢,こずえ,나무 꼭대기,JLPT_1 JLPT,"P{..MI,|Mb"
個性,こせい,"개성, 개성, 특이성",JLPT_1 JLPT,EsL6l#sj?m
戸籍,こせき,"인구 조사, 호적",JLPT_1 Intermediate_Japanese_Ln.14 JLPT Intermediate_Japanese,JOc{[NV4x8
古代,こだい,상대,JLPT_1 JLPT,s_N1oO.lmA
こたつ,こたつ,"히터가 있는 테이블, (원래) 바닥 우물에 숯불 화로",JLPT_1 JLPT,O}EMl{I]K-
こだわる,こだわる,"소란을 피우다, 특별히 신경쓰다",JLPT_1 JLPT,Dw-&[Gy8N`
誇張,こちょう,과장,JLPT_1 JLPT,c]NsRC|}O%
こつ (をつかむ),こつ (をつかむ),"비밀, 트릭, 교수형",JLPT_1 JLPT,qPHur}V8b$
滑稽,こっけい,"재미있다, 유머러스하다, 우스꽝스럽다",JLPT_1 JLPT,v>_m`mFbvz
国交,こっこう,외교관계,JLPT_1 JLPT,d-(zI.D]7}
骨董品,こっとうひん,진품,JLPT_1 JLPT,Dr0mqScf_b
固定,こてい,"고정, 고정(예: ​​급여, 자본)",JLPT_1 JLPT,g$6E|N|S:$
事柄,ことがら,"문제, 일, 사건, 상황",JLPT_1 JLPT,F=ad!I0A}O
孤独,こどく,"고립, 외로움, 고독",JLPT_1 JLPT,"cT&=x,mI2c"
ことごとく,ことごとく,"전적으로, 완전히",JLPT_1 JLPT,dR[Sxf+^Ps
言付け,ことづけ,메시지를 남기려고,JLPT_1 JLPT,kU+Y{Q}2@W
殊に,ことに,"특히, 무엇보다",JLPT_1 JLPT,en/8|n9S0h
粉々,こなごな,아주 작은 조각으로,JLPT_1 JLPT,Kmg$=%neFc
好ましい,このましい,"좋다, 마음에 든다, 바람직하다",JLPT_1 JLPT,x#LKH<P4pQ
碁盤,ごばん,탑승,JLPT_1 JLPT,zlA@Kkn)Y
個別,こべつ,특별한 경우,JLPT_1 JLPT,IS>`l#g_rF
ごまかす,ごまかす,"속이다, 위조하다, 허위로 나타내다",JLPT_1 JLPT,p$tB:Q(vZY
細やか,こまやか,"빈약한, 겸손한",JLPT_1 JLPT,w6sGv9Z]7>
コマーシャル,コマーシャル,광고,JLPT_1 JLPT,pmxm=&|P?L
込める,こめる,"포함시키다, 넣다",JLPT_1 JLPT,FCbb2pT+SZ
コメント,コメント,논평,JLPT_1 JLPT,cplDpvT[1o
籠もる,こもる,"자신을 격리시키다, 가둬두다",JLPT_1 JLPT,KBSxgcpn$F
固有,こゆう,"독특한, 전통, 특이한",JLPT_1 JLPT,yXV:}D_ozd
暦,こよみ,"달력, 연감",JLPT_1 JLPT,jx:{}3HoK:
凝らす,こらす,"집중하다, 전념하다, 자세히 들여다보다",JLPT_1 JLPT,oJEMYEm^we
ごらんなさい (かん),ごらんなさい (かん),"보세요, (제발) 해보세요",JLPT_1 JLPT,N1BBvCZ=AZ
孤立,こりつ,"고립, 무력감",JLPT_1 JLPT,xYDSYkNe4i
懲りる,こりる,"경험을 통해 배우다, 혐오감을 느끼다",JLPT_1 JLPT,vbJg<?=y%j
凝る,こる,"굳어지다, 굳어지다",JLPT_1 JLPT,p)T=z%i7F[
根気,こんき,"인내심; 인내, 에너지",JLPT_1 JLPT,GDCM!r*##2
根拠,こんきょ,"기초, 기초",JLPT_1 JLPT,Grg-T-@C<M
混血,こんけつ,"혼혈, 혼혈",JLPT_1 JLPT,saDmLPZfe~
コンタクト (レンズ),コンタクト (レンズ),연락하다; 콘택트 렌즈,JLPT_1 JLPT,DU{l0`Yee%
昆虫,こんちゅう,"곤충, 벌레",JLPT_1 JLPT,P^F+-mx?ec
根底,こんてい,"뿌리, 기초, 기초",JLPT_1 JLPT,g6v%#_YbHK
混同,こんどう,"혼란, 혼합, 합병",JLPT_1 JLPT,"M?|],Xch]L"
コントラスト,コントラスト,차이,JLPT_1 JLPT,m2RkdF5Kfg
コントロール,コントロール,제어,JLPT_1 JLPT,hZ|i&d%@k8
コンパス,コンパス,나침반,JLPT_1 JLPT,L6kv/h{mWx
根本,こんぽん,"기초, 뿌리, 기초",JLPT_1 JLPT,I>Va~AQW*%
財,ざい,"행운, 재물",JLPT_1 JLPT,Lg^]^#Fui$
再会,さいかい,"다시 만나다, 재회하다",JLPT_1 JLPT,nK{EZH)j58
災害,さいがい,"재난, 재난, 불행",JLPT_1 JLPT,s/:E%{jbbX
細菌,さいきん,"간균, 세균, 세균",JLPT_1 JLPT,I!s+/_djx3
細工,さいく,"일, 장인정신, 트릭",JLPT_1 JLPT,ouX.|>$33M
採掘,さいくつ,채광,JLPT_1 JLPT,Qb&n#ag5.U
サイクル,サイクル,주기,JLPT_1 JLPT,CwR.:*^K)]
採決,さいけつ,"투표, 점호",JLPT_1 JLPT,dGyNtnPzfu
再建,さいけん,(사원이나 신사) 재건축,JLPT_1 JLPT,oY^(hGDwBB
再現,さいげん,"재생산, 귀환, 부활",JLPT_1 JLPT,j$Iu*3{(HU
財源,ざいげん,"자금, 자원, 재정의 원천",JLPT_1 JLPT,gD`:Vm3DD=
在庫,ざいこ,"비축하다, 비축하다",JLPT_1 JLPT,I`6&P}MLhB
採算,さいさん,이익,JLPT_1 JLPT,z3sqnTBL(n
サイズ,サイズ,크기,JLPT_1 JLPT,J0]k_!eDR<
再生,さいせい,"재생, 재생, 소생",JLPT_1 JLPT,hGl1Th{bx@
財政,ざいせい,"경제, 재정",JLPT_1 JLPT,PbUztxpH:]
最善,さいぜん,가장 좋은,JLPT_1 JLPT,M-1H]L<~pq
採択,さいたく,"채택, 선택, 선택",JLPT_1 JLPT,e+cLZEXhDr
栽培,さいばい,경작,JLPT_1 JLPT,uC68c<~cH)
再発,さいはつ,"복귀, 재발, 재발",JLPT_1 JLPT,CS^Rshk:|8
細胞,さいぼう,셀,JLPT_1 JLPT,CzyHns{dm!
採用,さいよう,"사용하다, 채택하다",JLPT_1 JLPT,"vMLF5(iO,d"
遮る,さえぎる,"방해하다, 방해하다, 방해하다",JLPT_1 JLPT,QMaal]q?M$
さえずる,さえずる,"노래하다, 지저귀다, 트위터하다",JLPT_1 JLPT,r@Q>;L$}V-
冴える,さえる,"맑다, 밝다, 능숙하다",JLPT_1 JLPT,F_K.fXalP!
竿,さお,"막대, 기둥(예: 세탁물 건조용)",JLPT_1 JLPT,v^.R1:=Y[p
栄える,さかえる,"번영하다, 번영하다, 번영하다",JLPT_1 JLPT,w`<;(n%DdJ
差額,さがく,"균형, 차이, 여백",JLPT_1 JLPT,gAXt@5CeYh
杯,さかずき,와인 잔,JLPT_1 JLPT,QIw#3oSw.:
逆立ち,さかだち,"물구나무서기, 물구나무서기",JLPT_1 JLPT,ec~&YKW}51
さきに (いぜん),さきに (いぜん),"이전에, 이전에, 이전에",JLPT_1 JLPT,uh`5:/)TWv
詐欺,さぎ,"사기, 사기",JLPT_1 JLPT,w6]yB.g{E!
削減,さくげん,"잘라내다, 줄이다",JLPT_1 JLPT,k7zRyZ_D=o
錯誤,さくご,실수,JLPT_1 JLPT,IDfkC-Cw&L
作戦,さくせん,"군사 작전, 전술, 전략",JLPT_1 JLPT,s$Xs?1nQ+e
叫び,さけび,"소리치다, 비명을 지르다, 부르짖다",JLPT_1 JLPT,nqYX]L]Y*r
捧げる,ささげる,"들어 올리다, 주다, 제안하다",JLPT_1 JLPT,KhanDj}|vd
差し掛かる,さしかかる,"가까이 다가가다, 접근하다",JLPT_1 JLPT,IM%WW[zOZk
指図,さしず,"지시, 위임",JLPT_1 JLPT,N1]Ah`4~bh
差し出す,さしだす,"제시하다, 제출하다, 내세우다",JLPT_1 JLPT,A&xf;%;bo<
差し支える,さしつかえる,"방해하다, 방해하다",JLPT_1 JLPT,ve>x:VMBVJ
授ける,さずける,"부여하다, 수여하다, 가르치다",JLPT_1 JLPT,h.+pAO9bEu
摩する,さする,"문지르다, 쓰다듬다",JLPT_1 JLPT,yQu&Wz5|+#
さぞ (さぞや。さぞかし),さぞ (さぞや。さぞかし),"나는 확신해요, 확실히, 의심의 여지가 없어요",JLPT_1 JLPT,FE`C@V&t[f
定まる,さだまる,"안정되다, 고정되다",JLPT_1 JLPT,"Ly=j.,,]V@"
定める,さだめる,"결정하다, 결정하다",JLPT_1 JLPT,MNqx6`F)B2
座談会,ざだんかい,"심포지엄, 라운드 테이블 토론",JLPT_1 JLPT,d!+{3%PNo}
雑,ざつ,"거친, 조잡한",JLPT_1 JLPT,PqMu^a?1a^
雑貨,ざっか,"잡화, 잡화",JLPT_1 JLPT,r5VCxxHAy|
殺人,さつじん,살인,JLPT_1 JLPT,tM%DouVsND
察する,さっする,"추측하다, 감지하다, 판단하다",JLPT_1 JLPT,LGG(>{BjoV
雑談,ざつだん,"채팅, 잡담",JLPT_1 JLPT,DK#>y3UE4B
さっと,さっと,"갑자기, 순조롭게",JLPT_1 JLPT,EKYb(VaO4Q
さっぱりする,さっぱりする,새로 고치다,JLPT_1 JLPT,H|ANTa=Wl{
悟る,さとる,"깨달음을 얻다, 이해하다",JLPT_1 JLPT,v:Q4euCfA7
最中,さなか,"중간에, 한가운데에",JLPT_1 JLPT,A!j+&nF3Wn
座標,ざひょう,좌표,JLPT_1 JLPT,B0L0!.A0?}
さほど,さほど,"그렇지 않아, 그다지 많지는 않아",JLPT_1 JLPT,Eqh)/a:JaN
サボる,サボる,수업을 빼먹다(건너뛰다); 일을 게으르게 하다; 시간을 낭비하다,JLPT Genki_Ln.11 Intermediate_Japanese JLPT_1 Intermediate_Japanese_Ln.13 Genki,AVLvOaz~KF
様,さま,상태; 방법(사람이 어떤 일을 하는 것); 씨 또는 부인,JLPT_1 JLPT Intermediate_Japanese Intermediate_Japanese_Ln.11,lj0_)hI7Ez
寒気,さむけ,"오한, 떨림, 추위",JLPT_1 JLPT,N#;$qw^KPE
侍,さむらい,사무라이,JLPT_1 JLPT Intermediate_Japanese_Ln.7 Intermediate_Japanese,g}?p(/xug4
さも,さも,"즐겁게, 만족스럽게",JLPT_1 JLPT,Gm-[^5Ln&h
作用,さよう,"작동, 효과, 기능",JLPT_1 JLPT,"Oof8u=,|uS"
さらう (こどもを～),さらう (こどもを～),납치하다,JLPT_1 JLPT,B@RtBWjh/W
障る,さわる,"방해하다, 간섭하다, 영향을 미치다",JLPT_1 JLPT,Di(J(kaH;V
酸,さん,산,JLPT_1 JLPT,k/LaLYL|r#
山岳,さんがく,산,JLPT_1 JLPT,nJs0S#DzgO
参議院,さんぎいん,참의원,JLPT_1 JLPT,O7n.x?;S]&
産休,さんきゅう,출산 휴가,JLPT_1 JLPT,k`Pzt}i$UW
サンキュー,サンキュー,감사합니다,JLPT_1 JLPT,rQ2myGNLp<
残金,ざんきん,남은 돈,JLPT_1 JLPT,E</lr>b527
産後,さんご,"산후, 출산 후",JLPT_1 JLPT,"Pge/h!,u.x"
残酷,ざんこく,"잔인함, 가혹함",JLPT_1 JLPT,snLE.]5(UV
産出,さんしゅつ,"산출하다, 생산하다",JLPT_1 JLPT,AItAE0vKn;
参照,さんしょう,"참고, 상담, 상담",JLPT_1 JLPT,Q=29PP)W-_
参上,さんじょう,"전화하다, 방문하다",JLPT_1 JLPT,w#SP~u0yM;
残高,ざんだか,"(은행) 잔액, 잔액",JLPT_1 JLPT,K4gXaj[Vyi
サンタクロース,サンタクロース,산타클로스,JLPT_1 JLPT Intermediate_Japanese_Ln.8 Intermediate_Japanese,f/QC`5/{Un
桟橋,さんばし,"부두, 부두, 부두",JLPT_1 JLPT,qY2!_v~;bZ
賛美,さんび,"찬양, 숭배, 영광",JLPT_1 JLPT,e.-RuHb{48
山腹,さんぷく,"언덕, 산허리",JLPT_1 JLPT,o2ZZ0`v<eS
産婦人科,さんふじんか,산부인과,JLPT_1 JLPT,C-(.5yIOQP
産物,さんぶつ,"생성물, 결과, 과일",JLPT_1 JLPT,E~s#%JNaV$
山脈,さんみゃく,산맥,JLPT_1 JLPT,x1O?:5^y|C
仕上がり,しあがり,"마무리, 끝, 완성",JLPT_1 JLPT,yea;?+baU4
仕上,しあげ,"끝, 마무리",JLPT_1 JLPT,oEx[)E@iYE
仕上げる,しあげる,"끝내다, 완료하다",JLPT_1 JLPT,hK4h`Zw:aS
飼育,しいく,"번식, 사육, 양육",JLPT_1 JLPT,e5/Z)LI]cr
強いて,しいて,"감히 주장하다, 주장하다",JLPT_1 JLPT,Bomwd0N#[6
シート,シート,좌석; 시트,JLPT_1 JLPT,u]dm-2Z@p[
ジーパン,ジーパン,청바지,JLPT_1 JLPT,HXr(ew@{F#
仕入れる,しいれる,"재고를 확보하다, 재고를 보충하다, 조달하다",JLPT_1 JLPT,IFIIG{$W)<
強いる,しいる,"강요하다, 강요하다, 강요하다",JLPT_1 JLPT,mim3NgV!o^
潮,しお,조류,JLPT_1 JLPT,bk[V+Gm9:@
歯科,しか,치과,JLPT_1 JLPT,OAZ`Wrx_o9
自我,じが,"자기, 자아",JLPT_1 JLPT,b-m;dw=d{Y
自覚,じかく,자의식이 강한,JLPT_1 JLPT,i/]v!LT[`[
仕掛,しかけ,"장치, 트릭, 메커니즘",JLPT_1 JLPT,Jsems8J4`^
仕掛ける,しかける,"놓다, 놓다, 임금을 주다",JLPT_1 JLPT,Ac40<_hm$3
しかしながら,しかしながら,그러나 그럼에도 불구하고,JLPT_1 JLPT,Hq^C6[L3R8
色彩,しきさい,색상,JLPT_1 JLPT,G$Z8Bsx{4U
式場,しきじょう,"예식장, 결혼식 장소(예: 결혼식)",JLPT_1 JLPT,rHP.1FI!Xg
しきたり,しきたり,"관습, 관행, 전통",JLPT_1 JLPT,sw_]y<P?Kn
事業,じぎょう,"프로젝트, 기업, 사업",JLPT_1 JLPT,A#sQ/bEEtj
軽蔑,けいべつ,"경멸, 경멸",JLPT_1 JLPT,"lOS,!wvUe["
経歴,けいれき,"개인 이력, 경력",JLPT_1 JLPT,D*n(@DRyq`
経路,けいろ,"코스, 경로, 채널",JLPT_1 JLPT,AQ(D;C-S!0
けがらわしい,けがらわしい,"더러운, 불공평한",JLPT_1 JLPT,lJNQ&9#g@p
劇団,げきだん,"극단, 연극단",JLPT_1 JLPT,%y17:4{hj
激励,げきれい,격려,JLPT_1 JLPT,C6/gh1N08I
ゲスト,ゲスト,손님,JLPT_1 JLPT,lW>d7fCUoL
獣,けだもの,"짐승, 짐승",JLPT_1 JLPT,"o.IW_<j!,1"
決,けつ,"결정, 투표",JLPT_1 JLPT,h7W;[eV_6*
決意,けつい,"결정, 결심",JLPT_1 JLPT,Gg{:k%<AT6
結核,けっかく,결핵,JLPT_1 JLPT,dB99/5N;ta
決議,けつぎ,"결의, 투표, 결정",JLPT_1 JLPT,tcKhTpRM%o
結合,けつごう,"조합, 조합",JLPT_1 JLPT,Q*@FzK(@81
決算,けっさん,"대차대조표, 결산",JLPT_1 JLPT,z2iqWC-nB~
月謝,げっしゃ,월 수업료,JLPT_1 JLPT,t[*0i:*.#i
決勝,けっしょう,결승전 (스포츠),JLPT_1 JLPT,NFjb:+3q7*
結晶,けっしょう,"결정, 결정화",JLPT_1 JLPT,x*(Q^EE$u3
結成,けっせい,형성,JLPT_1 JLPT,c_%F>ZhYyr
結束,けっそく,"노동조합, 단결",JLPT_1 JLPT,JdP5@BTWkb
げっそり,げっそり,"낙담하다, 살이 빠지다",JLPT_1 JLPT,EtlnVvKbZd
決断,けつだん,"결정, 결심",JLPT_1 JLPT,w;j;5-!>6(
月賦,げっぷ,월부금,JLPT_1 JLPT,I{X4ZTn7X9
欠乏,けつぼう,부족,JLPT_1 JLPT,x8kzLzQh~#
蹴飛ばす,けとばす,"(누군가를) 걷어차다, 걷어차다",JLPT_1 JLPT,b5){X3eg^W
けなす,けなす,욕하다,JLPT_1 JLPT,BA]o8V-nRc
煙たい,けむたい,"연기가 나고, 어색한 느낌",JLPT_1 JLPT,M_8T~aeKk.
煙る,けむる,담배를 피우다 (예: 불을 피우다),JLPT_1 JLPT,"O+^L$,-au7"
獣,けもの,"짐승, 짐승",JLPT_1 JLPT,q-7J3|/7Vg
家来,けらい,"하인, 수행원, 하인",JLPT_1 JLPT,n|b=[)XZ>2
下痢,げり,설사,JLPT_1 JLPT Intermediate_Japanese_Ln.12 Intermediate_Japanese,D94n#KX+u`
権威,けんい,"권위, 권력, 영향력",JLPT_1 JLPT,lZZG^l>c$z
兼業,けんぎょう,두 가지 직업을 동시에 갖고 있는,JLPT_1 Intermediate_Japanese_Ln.14 JLPT Intermediate_Japanese,x9DFE@YYzp
原形,げんけい,"원래 형태, 기본 형태",JLPT_1 JLPT,"y2|y)U#`,-"
原型,げんけい,"프로토타입, 모형, 원형",JLPT_1 JLPT,"d5x_w+I&U,"
権限,けんげん,"권력, 권위, 관할권",JLPT_1 JLPT,wsBe&qWS]u
現行,げんこう,"현재, 현재, 작동 중",JLPT_1 JLPT,cB#>jxDt}]
健在,けんざい,"건강하게, 뭐",JLPT_1 JLPT,K?xI8~wHA>
原作,げんさく,원작,JLPT_1 JLPT,"K<e+,WSWtr"
検事,けんじ,검사,JLPT_1 JLPT,H[xn?@;-+x
原子,げんし,원자,JLPT_1 JLPT,"b[T}G,9]G?"
元首,げんしゅ,"통치자, 주권자",JLPT_1 JLPT,cJ-$.|^5r+
原書,げんしょ,원본 문서,JLPT_1 JLPT,wBia;+PSDE
懸賞,けんしょう,"상을 주다, 승리하다, 보상하다",JLPT_1 JLPT,B7|NMN9B[B
健全,けんぜん,"건강, 건전함, 건강한",JLPT_1 JLPT,u-bm~%/EH(
元素,げんそ,요소,JLPT_1 JLPT,B2tvGhK[&9
同調,どうちょう,"동정하다, 동의하다, 일치하다",JLPT_1 JLPT,n#0+>4}sN5
到底,とうてい,(할 수 없다) 아마도,JLPT_1 JLPT,C.#O<.PWZ+
動的,どうてき,"역동적인, 운동적인",JLPT_1 JLPT,k^9j&Q>>|N
尊い,とうとい,"귀중한, 귀중한, 고귀한",JLPT_1 JLPT,o/:X}@s/ud
貴い,とうとい,"귀중한, 귀중한, 고귀한",JLPT_1 JLPT,uE?!53}hB@
同等,どうとう,"동등, 동등, 같은 순위",JLPT_1 JLPT,sS(wNIrQN<
堂々,どうどう,"웅장하다, 웅장하다, 인상적이다",JLPT_1 JLPT,O@p/U*&n{h
尊ぶ,とうとぶ,"소중히 여기다, 상을 주다, 존중하다",JLPT_1 JLPT,NH2!B2Yh2E
どうにか,どうにか,"어떤 식으로든, 어떤 식으로든",JLPT_1 JLPT,l_xfmqX[ub
投入,とうにゅう,"던지기, 투자하기, 만들기 (전기회로)",JLPT_1 JLPT,mwsjMMb<d>
導入,どうにゅう,"소개, 도입, 인도",JLPT_1 JLPT Intermediate_Japanese_Ln.12 Intermediate_Japanese,m1+j$HqcF;
当人,とうにん,"관계자, 그 사람",JLPT_1 JLPT,l]4=/bCF3a
同封,どうふう,동봉물(예: 편지),JLPT_1 JLPT,hnY+6g21h_
逃亡,とうぼう,탈출하다,JLPT_1 JLPT,qqqC#4{p[V
冬眠,とうみん,"동면, 겨울잠",JLPT_1 JLPT,"B+T>Lb-B&,"
同盟,どうめい,"동맹, 연합, 연맹",JLPT_1 JLPT,oBig^AFvC5
どうやら,どうやら,왠지 그럴 것 같아,JLPT_1 JLPT,LZH$.!k~sm
動力,どうりょく,"힘, 원동력, 동적인 힘",JLPT_1 JLPT,gcbdGzw%jw
